codmuni,elec_id,municipio,coddept,tipo_eleccion,s_nvote_avg,s_mvote_avg,s_natlseats_14,s_match_muniseat,s_match_presseat,s_match_muniseatpres,s_match_none,s_votepro_centro,s_votepro_conserv,s_votepro_iz,s_votepro_lib,s_votepro_min,s_votepro_other,s_votepro_tv,s_votepro_urib,s_seatpro_centro,s_seatpro_conserv,s_seatpro_iz,s_seatpro_lib,s_seatpro_min,s_seatpro_other,s_seatpro_tv,s_seatpro_urib
5001,senado02,MEDELLIN,5,2,10592550.25,548387.5,102,0,0.25,0.5,0.25,0.022126562177348028,0.1708843491505045,0.0520952372535218,0.11418052836242107,0.020618372504739507,0.422031674547905,0.0660673332004954,0.3037224695759715,0,0,0,0,0,0,0,0
5002,senado02,ABEJORRAL,5,2,10592550.25,4950.5,102,0,0.5,0.25,0.25,0.00350933127002063,0.33876401568606396,0.017471542398687548,0.1727911443258725,0.01661693939019515,0.36290023031227925,0.0544653584301161,0.25835713653428677,0,0,0,0,0,0,0,0
5004,senado02,ABRIAQUI,5,2,10592550.25,925.5,102,0,0.5,0.25,0.25,0.0045524199611889655,0.521261850054761,0.0053335089520106845,0.13388585927366678,0.0069741232516708305,0.45947077888425153,0.0488431876606684,0.12537161381709874,0,0,0,0,0,0,0,0
5021,senado02,ALEJANDRIA,5,2,10592550.25,1825,102,0,0.5,0.25,0.25,0.00670574522221648,0.617657724951041,0.00503863429461377,0.10387416263690065,0.10332123339582729,0.39101673976476126,0.0482968988307067,0.12667320395881224,0,0,0,0,0,0,0,0
5030,senado02,AMAGA,5,2,10592550.25,7074.75,102,0.25,0.25,0.5,0,0.00997077856760184,0.2714865438667147,0.027059719079301,0.1937089545562928,0.012082141416364104,0.3668175600898512,0.327768668952154,0.19171849665483576,0,0,0,0,0,0,0,0
5031,senado02,AMALFI,5,2,10592550.25,3267.5,102,0.25,0.5,0.25,0,0.006089116970815498,0.190699224350739,0.02811284707022035,0.2062597064873325,0.008302838113131403,0.45364786330296525,0.100222010783381,0.19483692549041776,0,0,0,0,0,0,0,0
5034,senado02,ANDES,5,2,10592550.25,13034.75,102,0,0.25,0.5,0.25,0.004357587463451333,0.2684069279460795,0.02783660429005285,0.06316678291706382,0.01687229446039519,0.4279976421442555,0.254258083140878,0.2812268765925097,0,0,0,0,0,0,0,0
5036,senado02,ANGELOPOLIS,5,2,10592550.25,2108,102,0.25,0.75,0,0,0.005732707632188367,0.279068039365836,0.01367462239132939,0.2769472006247555,0.005522823546697034,0.34366366392912173,0.168571428571429,0.18243329904051925,0,0,0,0,0,0,0,0
5038,senado02,ANGOSTURA,5,2,10592550.25,3280.5,102,0,0.5,0.25,0.25,0.005663026541709444,0.686391038915743,0.01149644467711992,0.020161114571499633,0.0032382574411812877,0.5579915929411463,0.0742778541953232,0.047658124154923924,0,0,0,0,0,0,0,0
5040,senado02,ANORI,5,2,10592550.25,1723.5,102,0.25,0.5,0.25,0,0.012036946740288816,0.17125500887417,0.01681111334744255,0.27410925177670475,0.0163418458781362,0.470972189455857,0.0442427680090754,0.13262617266007842,0,0,0,0,0,0,0,0
5042,senado02,ANTIOQUIA,5,2,10592550.25,5595.25,102,0.25,0.25,0.5,0,0.006528290557808353,0.22109751132823602,0.039493203342397046,0.20284666676311155,0.015392900311983482,0.4211130719250768,0.28768054375531,0.15738387488532446,0,0,0,0,0,0,0,0
5044,senado02,ANZA,5,2,10592550.25,1143.5,102,0.25,0.5,0.25,0,0.004190966899000595,0.130227513394762,0.010542462845010599,0.3414026403440312,0.0207900207900208,0.41108244871446026,0.220806794055202,0.11463523566081613,0,0,0,0,0,0,0,0
5045,senado02,APARTADO,5,2,10592550.25,22345,102,0.25,0.25,0.5,0,0.012479462366236167,0.11295105485308976,0.0255301415864103,0.14072746791781304,0.04769260012287394,0.5201812514306186,0.209072588611847,0.17245348841202396,0,0,0,0,0,0,0,0
5051,senado02,ARBOLETES,5,2,10592550.25,8549.5,102,0,0,0.75,0.25,0.0038660991471157528,0.210274586133243,0.014749893830268,0.17783566520024344,0.12061829907188203,0.3595551521270915,0.401495162708883,0.1563598533494403,0,0,0,0,0,0,0,0
5055,senado02,ARGELIA,5,2,10592550.25,1743.75,102,0,0.5,0.25,0.25,0.005441167094204095,0.3948923907071965,0.011946747033052239,0.035935099443278336,0.0011280041167786889,0.36963138316818434,0.124024284475282,0.277486549929289,0,0,0,0,0,0,0,0
5059,senado02,ARMENIA,5,2,10592550.25,1686.5,102,0.25,0.5,0.25,0,0.0017755897459679037,0.207007634435146,0.015886329338106,0.32197783530421087,0.0730514783105263,0.3374475639055925,0.0141277641277641,0.16947537682925878,0,0,0,0,0,0,0,0
5079,senado02,BARBOSA,5,2,10592550.25,13177,102,0.25,0.5,0.25,0,0.009440372804716723,0.2503936791010755,0.02735588535974265,0.22982082716945848,0.011282708375532656,0.39814943258077123,0.116057233704293,0.188598338708101,0,0,0,0,0,0,0,0
5086,senado02,BELMIRA,5,2,10592550.25,1961.75,102,0,0.75,0,0.25,0.00268594583538445,0.44968747489254,0.008940856575010375,0.2601157677791007,0.006478201702129,0.34140155397141375,0.00756048387096774,0.1620248313203654,0,0,0,0,0,0,0,0
5088,senado02,BELLO,5,2,10592550.25,106384,102,0.25,0.5,0.25,0,0.018309236805198772,0.3501663805734825,0.04733958273793755,0.15019850567560167,0.018723784851225972,0.42902089762529927,0.0593194459592104,0.179422987311268,0,0,0,0,0,0,0,0
5091,senado02,BETANIA,5,2,10592550.25,3219.75,102,0.25,0.75,0,0,0.005772791281088744,0.183729553397896,0.011651759385406201,0.31372152410952026,0.005361199123863906,0.43063850773879775,0.0283577438454347,0.1425093829949578,0,0,0,0,0,0,0,0
5093,senado02,BETULIA,5,2,10592550.25,3582.5,102,0.25,0.5,0.25,0,0.006570380801746179,0.1948032380148635,0.00652967917362603,0.29965238662712873,0.01885858994892269,0.37375134152036776,0.0440340909090909,0.19584956246798446,0,0,0,0,0,0,0,0
5101,senado02,BOLIVAR,5,2,10592550.25,7872,102,0.25,0.5,0.25,0,0.004832686166803407,0.284175476380101,0.01800916155107785,0.14964084875155384,0.007926639835375457,0.46012774384328076,0.0698854574452661,0.21209822957662572,0,0,0,0,0,0,0,0
5107,senado02,BRICENO,5,2,10592550.25,1613.25,102,0,0.75,0,0.25,0.002960156283724705,0.455195815956954,0.0070696414543911495,0.22942075197511483,0.01157252401212881,0.46983414683913377,0.0112201963534362,0.059540983243793054,0,0,0,0,0,0,0,0
5113,senado02,BURITICA,5,2,10592550.25,2430.5,102,0.25,0.5,0.25,0,0.004564122806221576,0.3700035993744955,0.01016402329258945,0.24437609489352574,0.015270162015562569,0.34998326006406816,0.119112073632918,0.175861672889742,0,0,0,0,0,0,0,0
5120,senado02,CACERES,5,2,10592550.25,6101.25,102,0.25,0.75,0,0,0.010252915278106145,0.0928003891654975,0.0135001672251029,0.41175805226343953,0.006243645759701177,0.4159743950218015,0.215027857250414,0.0529878894284995,0,0,0,0,0,0,0,0
5125,senado02,CAICEDO,5,2,10592550.25,1800,102,0.25,0.75,0,0,0.0024741452858064368,0.07754844574586495,0.0069634780412794,0.385170264320824,0.005345960941344768,0.29873121671224073,0.144559585492228,0.23245611735139424,0,0,0,0,0,0,0,0
5129,senado02,CALDAS,5,2,10592550.25,20911.25,102,0.25,0.5,0.25,0,0.013453807799286996,0.200530781126745,0.039293837225529996,0.15173268161477166,0.017198120181522163,0.45966622104120725,0.181355766409078,0.2003609005800075,0,0,0,0,0,0,0,0
5134,senado02,CAMPAMENTO,5,2,10592550.25,1351,102,0.25,0.5,0.25,0,0.004805793024983015,0.5709471738065515,0.0213710232830692,0.14312598838477933,0.007799167591724037,0.4465455050889466,0.0274059910771192,0.09906563800589904,0,0,0,0,0,0,0,0
5138,senado02,CANASGORDAS,5,2,10592550.25,5212.75,102,0,0.5,0.25,0.25,0.003044546401898751,0.64013664521306,0.011164113385652149,0.07433585414408142,0.019693835384034082,0.39405670227829176,0.0137754284798975,0.18545942081884692,0,0,0,0,0,0,0,0
5142,senado02,CARACOLI,5,2,10592550.25,1682.75,102,0,0.5,0.25,0.25,0.02466461486173919,0.649802439597857,0.020637078857754364,0.05925923930435108,0.007847661888817671,0.39451748817059573,0.0319634703196347,0.1805903536266253,0,0,0,0,0,0,0,0
5145,senado02,CARAMANTA,5,2,10592550.25,2340.5,102,0,0.5,0.25,0.25,0.00392132578194818,0.444770242337514,0.014635554377324014,0.15058779945728057,0.006415888617213103,0.3880678990694503,0.062536189924725,0.20825444483529773,0,0,0,0,0,0,0,0
5147,senado02,CAREPA,5,2,10592550.25,10048.75,102,0.25,0.5,0.25,0,0.007122133558140667,0.0954830556273205,0.00910811559427139,0.20601058020826898,0.046129795013524176,0.5261417219015827,0.164137931034483,0.13457868309198331,0,0,0,0,0,0,0,0
5148,senado02,CARMEN DE VIBORAL,5,2,10592550.25,13735,102,0,0.25,0.5,0.25,0.015470891949246805,0.15136560802048005,0.0419903490469353,0.09140819534521735,0.11070455448574974,0.41126583669094274,0.232142857142857,0.24798069031817024,0,0,0,0,0,0,0,0
5150,senado02,CAROLINA,5,2,10592550.25,1602.75,102,0.25,0.75,0,0,0.008838020417036387,0.43712908255246796,0.02541925438340465,0.251291776534898,0.005906170732546496,0.417983718228021,0.0194750211685013,0.0835234381148321,0,0,0,0,0,0,0,0
5154,senado02,CAUCASIA,5,2,10592550.25,22606.5,102,0.25,0.25,0.5,0,0.009016507796974611,0.1794090985983695,0.0352840660669393,0.23629808063476926,0.00945940776370418,0.4301262402845353,0.350543361539453,0.12473631969266885,0,0,0,0,0,0,0,0
5172,senado02,CHIGORODO,5,2,10592550.25,11202.25,102,0.25,0,0.75,0,0.011861011609468664,0.13908056684404804,0.0157324766577686,0.1769339873813838,0.09142982532612189,0.459114863170484,0.325923217550274,0.12759569560796258,0,0,0,0,0,0,0,0
5190,senado02,CISNEROS,5,2,10592550.25,4227,102,0.25,0.75,0,0,0.00671762251849198,0.3760035441950605,0.0266445606393074,0.3055479446398755,0.00433447381745898,0.3887347428978645,0.0516351118760757,0.0848748154537169,0,0,0,0,0,0,0,0
5197,senado02,COCORNA,5,2,10592550.25,4205,102,0,0.5,0.25,0.25,0.0027106775801288277,0.7053747361013369,0.01884226648817755,0.03629158592033792,0.023842079774823957,0.41899890290086017,0.016287284144427,0.16457514077542937,0,0,0,0,0,0,0,0
5206,senado02,CONCEPCION,5,2,10592550.25,1648.5,102,0.25,0.75,0,0,0.007302301348499821,0.2574153944176245,0.009173370586384795,0.311914402053179,0.08659615284425905,0.3201080430131775,0.0226595110316041,0.18024349224023356,0,0,0,0,0,0,0,0
5209,senado02,CONCORDIA,5,2,10592550.25,4333.75,102,0.25,0.25,0.5,0,0.003489646186347457,0.11778945598709205,0.01501704105349775,0.16088767484934977,0.0085059904490618,0.47365774615915696,0.0755287009063444,0.27117242776805583,0,0,0,0,0,0,0,0
5212,senado02,COPACABANA,5,2,10592550.25,21108,102,0.25,0.5,0.25,0,0.012211340707231226,0.191021953965853,0.05856906335324705,0.1731991481005513,0.046376086476069375,0.42555677381173723,0.122111212029468,0.20198019603331901,0,0,0,0,0,0,0,0
5234,senado02,DABEIBA,5,2,10592550.25,3161.5,102,0.25,0.75,0,0,0.007731668334530131,0.211457883095446,0.007357988211213195,0.324213899950562,0.017565919498847667,0.3862580574503137,0.110335195530726,0.13356311718807964,0,0,0,0,0,0,0,0
5237,senado02,DON MATIAS,5,2,10592550.25,5646,102,0,0.5,0.25,0.25,0.00802772249544086,0.500617081904369,0.02933375158340975,0.04964609173746855,0.012632869751346344,0.40309071441461525,0.0198970840480274,0.26181806190692947,0,0,0,0,0,0,0,0
5240,senado02,EBEJICO,5,2,10592550.25,4003.75,102,0.25,0.5,0.25,0,0.006646406567152936,0.30346382874067,0.008634203350947256,0.3227080487175903,0.00922101691246888,0.334393212598659,0.024966078697422,0.1687076353538701,0,0,0,0,0,0,0,0
5250,senado02,EL BAGRE,5,2,10592550.25,9359.5,102,0.25,0.5,0.25,0,0.007601240020127127,0.418931173116982,0.01522181696017025,0.16773033739339901,0.029178863660941048,0.4464012884221195,0.141982750625985,0.10571111372860804,0,0,0,0,0,0,0,0
5264,senado02,ENTRERRIOS,5,2,10592550.25,2519.25,102,0.25,0.75,0,0,0.008386439288050503,0.1877893950709485,0.0177179405259494,0.358938844735009,0.017824409801610867,0.3519642139159894,0.020631067961165,0.16152736974301574,0,0,0,0,0,0,0,0
5266,senado02,ENVIGADO,5,2,10592550.25,86504,102,0.25,0.5,0.25,0,0.018641256856830615,0.147996066831994,0.042093667507929505,0.23223818582705733,0.012211356402335533,0.38472059367122324,0.0527070159590485,0.25168013939762074,0,0,0,0,0,0,0,0
5282,senado02,FREDONIA,5,2,10592550.25,6894.5,102,0.25,0.75,0,0,0.007082948366471303,0.306455532023927,0.029945732143524847,0.29771746335564575,0.008047442698052017,0.34057301910062077,0.0818915801614764,0.16168819712124635,0,0,0,0,0,0,0,0
5284,senado02,FRONTINO,5,2,10592550.25,4565.5,102,0.25,0.5,0.25,0,0.00840843917356214,0.16308002248847497,0.01479623628733725,0.321400529859043,0.009663959543583536,0.38331417788158173,0.100817438692098,0.16758850416058524,0,0,0,0,0,0,0,0
5306,senado02,GIRALDO,5,2,10592550.25,1685,102,0.25,0.5,0.25,0,0.002866800575608585,0.31987623416077104,0.0243246592317224,0.20711994569892025,0.028896569867904894,0.37023808067939523,0.080545229244114,0.2145235343926525,0,0,0,0,0,0,0,0
5308,senado02,GIRARDOTA,5,2,10592550.25,13850.25,102,0.25,0.5,0.25,0,0.01576755889229965,0.363626034830577,0.0508813526847727,0.13215858724774704,0.01852448450781264,0.429227182591714,0.189251329213968,0.15832867154928804,0,0,0,0,0,0,0,0
5310,senado02,GOMEZ PLATA,5,2,10592550.25,2809.25,102,0.25,0.75,0,0,0.01775571751696406,0.2634689261479915,0.01289884487114135,0.26819224113297147,0.0035926589081878295,0.422989052493161,0.163914120561519,0.11808393778429838,0,0,0,0,0,0,0,0
5313,senado02,GRANADA,5,2,10592550.25,2483.5,102,0,0.5,0.25,0.25,0.0036516309107148086,0.4692090203333875,0.02968399820708205,0.0587035778022498,0.013591162932170525,0.4102111574537695,0.0851449275362319,0.2474204282075236,0,0,0,0,0,0,0,0
5315,senado02,GUADALUPE,5,2,10592550.25,1425.25,102,0.25,0.75,0,0,0.00423472474289171,0.3498953715549475,0.005875415096886201,0.3695155440911685,0.007812152562491398,0.3647487042067957,0.044767090139141,0.06974079023374224,0,0,0,0,0,0,0,0
5318,senado02,GUARNE,5,2,10592550.25,12503.5,102,0,0.5,0.25,0.25,0.011467879476526065,0.24656346108285548,0.03065488025972525,0.10234678248215859,0.06894569698445951,0.3876588499825075,0.212095616183799,0.25805111047235424,0,0,0,0,0,0,0,0
5321,senado02,GUATAPE,5,2,10592550.25,3040.75,102,0.25,0,0.75,0,0.00600540372644755,0.1767887564166215,0.0178124647366603,0.08524984888450307,0.021635619151627233,0.3554986839819061,0.457582027785989,0.3283259333835088,0,0,0,0,0,0,0,0
