elec_id,codmuni,year,municipio,c_match_munidept,c_match_presdept,c_match_munideptpres,c_match_none,coddept,tipo_eleccion,cam_dvote,cam_mvote,dstot,c_votepro_centro,c_votepro_conserv,c_votepro_iz,c_votepro_lib,c_votepro_min,c_votepro_other,c_votepro_tv,c_votepro_urib,c_seatpro_centro,c_seatpro_conserv,c_seatpro_iz,c_seatpro_lib,c_seatpro_min,c_seatpro_other,c_seatpro_tv,c_seatpro_urib
camara02,5101,2002,BOLIVAR,0,1,0,0,5,3,1097317,6768,17,0.00398936170212766,NA,NA,0.260490543735225,0.00384160756501182,0,NA,0.11539598108747,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5107,2002,BRICE/O,0,1,0,0,5,3,1097317,278,17,0.0143884892086331,NA,NA,0.179856115107914,0.00359712230215827,0,NA,0.154676258992806,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5113,2002,BURITICA,0,1,0,0,5,3,1097317,1643,17,0.00121728545343883,NA,NA,0.37553256238588,0.00121728545343883,0,NA,0.0882531953743153,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5120,2002,CACERES,0,1,0,0,5,3,1097317,3947,17,0.0210286293387383,NA,NA,0.365087408158095,0.0131745629592095,0,NA,0.0813275905751203,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5125,2002,CAICEDO,0,1,0,0,5,3,1097317,1261,17,0.0023790642347343398,NA,NA,0.606661379857256,0.00713719270420301,0,NA,0.161776367961935,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5129,2002,CALDAS,0,1,0,0,5,3,1097317,14556,17,0.00412201154163232,NA,NA,0.369469634514977,0.0101676284693597,0,NA,0.186521022258862,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5134,2002,CAMPAMENTO,0,0,1,0,5,3,1097317,744,17,0.00268817204301075,NA,NA,0.104838709677419,0.00672043010752688,0,NA,0.318548387096774,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5138,2002,CA/ASGORDAS,0,0,1,0,5,3,1097317,3511,17,0.00227855311876958,NA,NA,0.0694958701224722,0.00341782967815437,0,NA,0.157789803474794,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5142,2002,CARACOLI,0,0,1,0,5,3,1097317,1458,17,0.00137174211248285,NA,NA,0.0644718792866941,0.00137174211248285,0,NA,0.122770919067215,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5145,2002,CARAMANTA,0,0,1,0,5,3,1097317,1943,17,0.00154400411734431,NA,NA,0.176531137416366,0.00205867215645908,0,NA,0.272774060730829,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5147,2002,CAREPA,0,0,1,0,5,3,1097317,5632,17,0.00674715909090909,NA,NA,0.150745738636364,0.00443892045454545,0,NA,0.458274147727273,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5148,2002,CARMEN DE VIBORAL,0,0,1,0,5,3,1097317,9289,17,0.00366024329852514,NA,NA,0.151469480030143,0.00635159866508774,0,NA,0.416514156529228,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5150,2002,CAROLINA,0,1,0,0,5,3,1097317,1297,17,0.0023130300693909,NA,NA,0.112567463377024,0.0046260601387818,0,NA,0.0408635312259059,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5154,2002,CAUCASIA,0,1,0,0,5,3,1097317,16825,17,0.0415453194650817,NA,NA,0.275126300148588,0.0143833580980684,0,NA,0.0688855869242199,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5172,2002,CHIGORODO,0,0,1,0,5,3,1097317,6925,17,0.00505415162454874,NA,NA,0.180505415162455,0.00433212996389892,0,NA,0.458628158844765,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5190,2002,CISNEROS,0,1,0,0,5,3,1097317,2937,17,0.00340483486550902,NA,NA,0.0653728294177732,0.00510725229826353,0,NA,0.0629894450119169,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5197,2002,COCORNA,0,0,1,0,5,3,1097317,1578,17,0.00126742712294043,NA,NA,0.0627376425855513,0.00126742712294043,0,NA,0.198352344740177,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
